city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Algiers,36.7539,3.0589,Algeria,DZ,Alger,primary,3415811,3415811
Constantine,36.3500,6.6000,Algeria,DZ,Constantine,admin,465138,465138
Batna,35.5500,6.1667,Algeria,DZ,Batna,admin,290645,290645
Sétif,36.1900,5.4100,Algeria,DZ,Sétif,admin,288461,288461
Djelfa,34.6667,3.2500,Algeria,DZ,Djelfa,admin,265833,265833
Annaba,36.9000,7.7667,Algeria,DZ,Annaba,admin,257359,257359
Sidi Aïssa,36.5000,4.2978,Algeria,DZ,M’sila,,215000,215000
Sidi Bel Abbès,35.1939,-0.6414,Algeria,DZ,Sidi Bel Abbès,admin,212935,212935
Biskra,34.8500,5.7333,Algeria,DZ,Biskra,admin,204661,204661
Tébessa,35.4000,8.1167,Algeria,DZ,Tébessa,admin,194461,194461
Ouargla,31.9500,5.3167,Algeria,DZ,Ouargla,admin,191136,133024
El Khroub,36.2667,6.7000,Algeria,DZ,Constantine,,179033,179033
Tiaret,35.3667,1.3167,Algeria,DZ,Tiaret,admin,178915,178915
Bejaïa,36.7511,5.0642,Algeria,DZ,Bejaïa,admin,176139,176139
Tlemcen,34.8828,-1.3167,Algeria,DZ,Tlemcen,admin,173531,173531
Bir el Djir,35.7367,-0.5542,Algeria,DZ,Oran,,171883,171883
Bordj Bou Arreridj,36.0667,4.7667,Algeria,DZ,Bordj Bou Arréridj,admin,168346,168346
Béchar,31.6167,-2.2167,Algeria,DZ,Béchar,admin,165627,165627
Blida,36.4686,2.8319,Algeria,DZ,Blida,admin,163586,163586
Skikda,36.8667,6.9000,Algeria,DZ,Skikda,admin,163318,163318
Souk Ahras,36.2864,7.9511,Algeria,DZ,Souk Ahras,admin,155259,155259
Chlef,36.1647,1.3317,Algeria,DZ,Chlef,admin,155134,155134
El Eulma,36.1500,5.6833,Algeria,DZ,Sétif,,155038,155038
Bordj el Kiffan,36.7375,3.1931,Algeria,DZ,Alger,,151950,151950
Mostaganem,35.9333,0.0833,Algeria,DZ,Mostaganem,admin,145696,145696
Touggourt,33.1000,6.0667,Algeria,DZ,Touggourt,admin,143270,143270
Médéa,36.2675,2.7500,Algeria,DZ,Médéa,admin,138355,138355
Tizi Ouzou,36.7167,4.0500,Algeria,DZ,Tizi Ouzou,admin,135088,135088
El Oued,33.3611,6.8606,Algeria,DZ,El Oued,admin,134699,134699
Laghouat,33.8028,2.8750,Algeria,DZ,Laghouat,admin,134372,134372
M’Sila,35.7019,4.5472,Algeria,DZ,M’sila,admin,132975,132975
Jijel,36.8167,5.7500,Algeria,DZ,Jijel,admin,131513,131513
Relizane,35.7333,0.5500,Algeria,DZ,Relizane,admin,130094,130094
Saïda,34.8333,0.1500,Algeria,DZ,Saïda,admin,128413,128413
Baraki,36.6667,3.1000,Algeria,DZ,Tipaza,,123101,123101
Guelma,36.4500,7.4333,Algeria,DZ,Guelma,admin,120004,120004
Ghardaïa,32.4833,3.6667,Algeria,DZ,Ghardaïa,admin,120000,120000
Aïn Beïda,35.7833,7.3833,Algeria,DZ,Oum el Bouaghi,,116064,116064
Maghnia,34.8617,-1.7306,Algeria,DZ,Tlemcen,,114634,114634
Bou Saâda,35.2083,4.1739,Algeria,DZ,M’sila,,111787,111787
Bou Saada,36.7667,4.5833,Algeria,DZ,Tizi Ouzou,,111787,111787
Mascara,35.4000,0.1333,Algeria,DZ,Mascara,admin,108587,108587
Khenchela,35.4167,7.1333,Algeria,DZ,Khenchela,admin,108580,108580
Barika,35.3972,5.3658,Algeria,DZ,Batna,,104388,104388
Messaad,34.1667,3.5000,Algeria,DZ,Djelfa,,102453,102453
Aflou,34.1089,2.1019,Algeria,DZ,Laghouat,,102025,102025
Aïn Oussera,35.4489,2.9044,Algeria,DZ,Djelfa,,101239,101239
Oran,35.6969,-0.6331,Algeria,DZ,Oran,admin,101009,101009
Es Senia,35.6500,-0.6333,Algeria,DZ,Oran,,96928,96928
Bab Ezzouar,36.7217,3.1853,Algeria,DZ,Alger,,96597,96597
Tamanrasset,22.7889,5.5256,Algeria,DZ,Tamanrasset,admin,92635,92635
Arzew,35.8500,-0.3167,Algeria,DZ,Oran,,91400,91400
Aïn M’Lila,36.0361,6.5708,Algeria,DZ,Oum el Bouaghi,,88441,88441
El Bayadh,33.6803,1.0203,Algeria,DZ,El Bayadh,admin,85577,85577
Mohammadia,35.5833,0.0667,Algeria,DZ,Mascara,,84700,84700
Khemis Miliana,36.2667,2.2167,Algeria,DZ,Aïn Defla,,84574,84574
Hamma Bouziane,36.5333,6.7167,Algeria,DZ,Constantine,,83603,83603
Dar el Beïda,36.7142,3.2125,Algeria,DZ,Alger,,81509,81509
Oum el Bouaghi,35.8775,7.1136,Algeria,DZ,Oum el Bouaghi,admin,80359,80359
